loop_id,target_object_id,picked_object_id,u,v,color_name,result_detail,result
0,4,4,320,287,blue,grasp_success_intended_obj_4_sort_success_obj_4,success
1,2,2,122,287,red,grasp_success_intended_obj_2_sort_success_obj_2,success
2,6,N/A,519,287,red,grasp_fail_obj_6,fail
3,3,N/A,320,287,blue,grasp_fail_obj_3,fail
4,6,N/A,520,287,red,grasp_fail_obj_6,fail
5,3,N/A,123,287,red,grasp_fail_obj_3,fail
6,5,N/A,375,270,blue,grasp_fail_obj_5,fail
7,3,N/A,376,269,blue,grasp_fail_obj_3,fail
8,6,N/A,521,239,red,grasp_fail_obj_6,fail
9,3,N/A,376,268,blue,grasp_fail_obj_3,fail
